step,train_loss,eval_loss,perplexity,grad_norm,lr,update_to_weight_ratio,mfu,vram_allocated_gb,vram_reserved_gb,vram_peak_allocated_gb,attention_entropy
10,2.2869781173067167,2.1549092066287994,8.62710685929371,2.503242015838623,0.0001764705882352941,3.0795692369029196e-07,0.3655261977891541,2.2630910873413086,5.958984375,5.318193435668945,3.810141086578369
20,1.9141181531667826,1.8425730937719345,6.312760706396947,1.507354736328125,0.00020588235294117645,3.594558450756641e-07,0.36392658975001924,2.2630910873413086,5.958984375,5.318193435668945,4.04508113861084
30,1.7138926798538359,1.6869699366390705,5.403084188997802,1.0890097618103027,0.0002352941176470588,4.109048090670544e-07,0.36959831462048426,2.2630910873413086,5.958984375,5.318193435668945,4.403267860412598
40,1.6906201770478404,1.690959705412388,5.424684306659136,0.9235661029815674,0.00026470588235294115,4.270318127102503e-07,0.38831441161313573,2.2630910873413086,5.958984375,5.318193435668945,4.400371551513672
50,1.6938172696100082,1.6260536873340607,5.0837729231621855,1.7996431589126587,0.0002941176470588235,5.138772132414904e-07,0.38841060143986605,2.2630910873413086,5.958984375,5.318193435668945,4.399216651916504
60,1.671807797451038,1.6284603391587735,5.096022528899691,1.0936219692230225,0.0003,5.242892812917483e-07,0.38931274173115865,2.2630910873413086,5.958984375,5.318193435668945,3.8639540672302246
70,1.5592346511384676,1.5633533138036728,4.7748058518309975,0.8530218005180359,0.0003,4.4735606888347165e-07,0.38152731817425584,2.2630910873413086,5.958984375,5.318193435668945,4.385854721069336
80,1.5679532092294153,1.614552190899849,5.0256368935555376,1.5689347982406616,0.0003,5.246493042470874e-07,0.3620614653638946,2.2630910873413086,5.958984375,5.318193435668945,3.926530361175537
90,1.5627981658113796,1.5142098385840654,4.545827769659437,0.8354710936546326,0.0003,4.3850463210919137e-07,0.3445230609540637,2.2630910873413086,5.958984375,5.318193435668945,4.389898300170898
100,1.6018659760048672,1.5713612633943557,4.813195763483319,0.8633889555931091,0.0003,4.533371531436962e-07,0.3560304999497493,2.2630910873413086,5.958984375,5.318193435668945,3.9764180183410645
110,1.5328983827734266,1.4918946346640587,4.445510162802493,0.7188281416893005,0.0003,3.775955403628802e-07,0.3696300629185253,2.2630910873413086,5.958984375,5.318193435668945,4.390472412109375
120,1.5282889638075199,1.5222699539363385,4.582615724271348,0.7579528093338013,0.0003,3.983408292456582e-07,0.3717839547198777,2.2630910873413086,5.958984375,5.318193435668945,3.954149007797241
130,1.4799627462067673,1.4762282527983188,4.3764078082827815,0.8127932548522949,0.0003,4.2737997056932955e-07,0.35659036978374276,2.2630910873413086,5.958984375,5.318193435668945,4.029469966888428
140,1.4893357879004583,1.4974268092215062,4.470171653960034,0.7413613796234131,0.0003,3.9000630907559307e-07,0.36146526829404196,2.2630910873413086,5.958984375,5.318193435668945,4.085317134857178
150,1.4794012009442667,1.4697424188256263,4.348115004236751,0.7079516053199768,0.0003,3.7256766030082755e-07,0.3808264496422301,2.2630910873413086,5.958984375,5.318193435668945,3.940699577331543
160,1.4911119318496322,1.5089446341991424,4.521955957487173,0.7421172857284546,0.0003,3.907458766056387e-07,0.3889800295605825,2.2630910873413086,5.958984375,5.318193435668945,4.393195629119873
170,1.4337510977318,1.455141353160143,4.2850891336851,0.7590203285217285,0.0003,3.998483797329271e-07,0.38675210221488454,2.2630910873413086,5.958984375,5.318193435668945,4.3903889656066895
180,1.4037289172858642,1.4833588582277297,4.407725770880811,0.7065635323524475,0.0003,3.724141598638724e-07,0.38783066308439545,2.2630910873413086,5.958984375,5.318193435668945,3.9893927574157715
190,1.4475363551512905,1.4671252293884753,4.336750042192649,0.6729681491851807,0.0003,3.5484889378893727e-07,0.376730907916342,2.2630910873413086,5.958984375,5.318193435668945,4.251565933227539
200,1.4125580582278001,1.4599124878644942,4.305582721119322,0.790895402431488,0.0003,4.172016040706174e-07,0.36392574248269777,2.2630910873413086,5.958984375,5.318193435668945,3.92116117477417
210,1.396021448657848,1.4561092590540647,4.289238704586682,0.6635125875473022,0.0003,3.501488195355174e-07,0.345894681425137,2.2630910873413086,5.958984375,5.318193435668945,4.385984897613525
220,1.3705102066563155,1.4466948375105857,4.24904748869512,0.7013887166976929,0.0003,3.7029244331681535e-07,0.369259652994568,2.2630910873413086,5.958984375,5.318193435668945,4.385897636413574
230,1.4444381335163672,1.4530988550931214,4.276345779594074,0.6798936724662781,0.0003,3.5908320347161935e-07,0.3709752362573468,2.2630910873413086,5.958984375,5.318193435668945,3.9352097511291504
240,1.4728723214178059,1.4242765027284623,4.154850731900753,0.7452192902565002,0.0003,3.937520979680159e-07,0.34765473918624573,2.2630910873413086,5.958984375,5.318193435668945,4.110935211181641
250,1.4425766123861719,1.4649930150806905,4.3275130128659995,0.7680283188819885,0.0003,4.059709981407859e-07,0.3690581874885538,2.2630910873413086,5.958984375,5.318193435668945,3.993500232696533
260,1.3690856119145067,1.4076481273770332,4.086333557804969,0.664360761642456,0.0003,3.5128413464217244e-07,0.3727090502678865,2.2630910873413086,5.958984375,5.318193435668945,3.9740099906921387
270,1.4145296574682176,1.4520113253593445,4.2716976543521765,0.7870944738388062,0.0003,4.163108845323708e-07,0.3859081550668813,2.2630910873413086,5.958984375,5.318193435668945,4.096342086791992
280,1.3537922644211158,1.416967468559742,4.12459349622008,0.6744914054870605,0.0003,3.5686016683043385e-07,0.3885234046879525,2.2630910873413086,5.958984375,5.318193435668945,4.391720771789551
290,1.3287819817524928,1.410276893377304,4.097089704029122,0.7881995439529419,0.0003,4.1714309422625043e-07,0.3868508772948506,2.2630910873413086,5.958984375,5.318193435668945,4.066781044006348
300,1.3757158331864048,1.4073261719942094,4.085018152482295,0.709256112575531,0.0003,3.7547731104713634e-07,0.3819815365904635,2.2630910873413086,5.958984375,5.318193435668945,4.408113956451416
310,1.431025808720733,1.39617730230093,4.0397277548979575,0.698309600353241,0.0003,3.697882388979992e-07,0.3500752692212255,2.2630910873413086,5.958984375,5.318193435668945,4.411192893981934
320,1.407190618239745,1.3961767023801803,4.039725331382181,0.7677673697471619,0.0003,4.0671323298966847e-07,0.3554168885735684,2.2630910873413086,5.958984375,5.318193435668945,4.410491943359375
330,1.3752827873876625,1.400766616165638,4.058309940619927,0.8197064399719238,0.0003,4.34387142982626e-07,0.35702971768872904,2.2630910873413086,5.958984375,5.318193435668945,3.998847007751465
340,1.3594607648119563,1.402452714368701,4.065158421701623,0.6672178506851196,0.0003,3.5370044571220433e-07,0.36252909644893766,2.2630910873413086,5.958984375,5.318193435668945,4.123378753662109
350,1.3267360100565453,1.4051994633674623,4.076339740634622,0.6222348809242249,0.0003,3.2996837967523575e-07,0.37910687263053083,2.2630910873413086,5.958984375,5.318193435668945,4.108176231384277
360,1.360363783261094,1.3788977395463735,3.9705226644459652,0.6452056765556335,0.0003,3.4224812234964985e-07,0.3630762383646095,2.2630910873413086,5.958984375,5.318193435668945,4.023087501525879
370,1.4049918451928534,1.4073284034430982,4.085027268001682,0.7028210163116455,0.0003,3.7290197213718034e-07,0.3653969217919049,2.2630910873413086,5.958984375,5.318193435668945,4.409059524536133
380,1.3866046474177915,1.3759626846574247,3.9588860478958297,0.5991796851158142,0.0003,3.1800643845147695e-07,0.3874098574115003,2.2630910873413086,5.958984375,5.318193435668945,4.404072284698486
390,1.404571260377102,1.3981382966041564,4.047657410475482,0.9227707386016846,0.0003,4.898871292468994e-07,0.4001536270684078,2.2630910873413086,5.958984375,5.318193435668945,4.009681701660156
400,1.3440357465599215,1.3745884477347134,3.9534493370360204,0.6290460228919983,0.0003,3.340415592499917e-07,0.3877628322032004,2.2630910873413086,5.958984375,5.318193435668945,3.980844497680664
410,1.3249673933098243,1.380669210702181,3.977562564468428,0.7054147124290466,0.0003,3.746914059854453e-07,0.38668374059474364,2.2630910873413086,5.958984375,5.318193435668945,4.408493518829346
420,1.3549018254365954,1.3671708518266679,3.9242327398266608,0.6501866579055786,0.0003,3.454605371189969e-07,0.37957277021545144,2.2630910873413086,5.958984375,5.318193435668945,4.410162925720215
430,1.319399463661261,1.3922622049599886,4.023942747589394,0.6913304924964905,0.0003,3.6741246478986164e-07,0.3592067806827875,2.2630910873413086,5.958984375,5.318193435668945,4.404519081115723
440,1.2878385181798084,1.370469760671258,3.937199802739744,0.6783626079559326,0.0003,3.606198006841122e-07,0.352314371020915,2.2630910873413086,5.958984375,5.318193435668945,3.9356751441955566
450,1.305341592305922,1.3807690373063088,3.9779596508515076,0.6574957966804504,0.0003,3.4962507257883395e-07,0.36813675556985404,2.2630910873413086,5.958984375,5.318193435668945,4.406545639038086
460,1.3321325286052366,1.374822094142437,3.954373154190813,0.6622053384780884,0.0003,3.5221401500787233e-07,0.37698273883580496,2.2630910873413086,5.958984375,5.318193435668945,4.423249244689941
470,1.3590185768370688,1.3760976737737656,3.9594204904962855,0.6744644641876221,0.0003,3.5881428821813307e-07,0.3827221204592783,2.2630910873413086,5.958984375,5.318193435668945,4.426326751708984
480,1.3443694253422542,1.3740915285795927,3.951485280360755,0.6436680555343628,0.0003,3.425028421206365e-07,0.3594932388600845,2.2630910873413086,5.958984375,5.318193435668945,3.98793625831604
490,1.364690283236996,1.361386042535305,3.9015973356825415,0.6767827868461609,0.0003,3.601972621807665e-07,0.36607743508797547,2.2630910873413086,5.958984375,5.318193435668945,4.029876232147217
500,1.3149258205891015,1.381216308325529,3.979739274876419,0.714779257774353,0.0003,3.804815574096704e-07,0.3842008554535949,2.2630910873413086,5.958984375,5.318193435668945,3.972442150115967
510,1.30810025830336,1.339891001060605,3.81862725636051,0.6970579624176025,0.0003,3.711067750705441e-07,0.3860645372787299,2.2630910873413086,5.958984375,5.318193435668945,4.062675476074219
520,1.3174875232107297,1.4193946834653617,4.134616930627446,0.5758733153343201,0.0003,3.066368921001345e-07,0.4036672588086838,2.2630910873413086,5.958984375,5.318193435668945,4.008476257324219
530,1.2542112580940272,1.3196756602078676,3.742207433625253,0.5784317851066589,0.0003,3.080401798784386e-07,0.4010280768206652,2.2630910873413086,5.958984375,5.318193435668945,4.026573657989502
540,1.3298607889670306,1.4063872972875833,4.081184632142063,0.6543546915054321,0.0002999372092891524,3.484440133546586e-07,0.3802573872446682,2.2630910873413086,5.958984375,5.318193435668945,4.418505668640137
550,1.3434160018988246,1.3291376964747905,3.7777843858529847,0.6981174349784851,0.00029247274412845926,3.625388673698864e-07,0.36488165259036526,2.2630910873413086,5.958984375,5.318193435668945,4.4040069580078125
